validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Friday October 7 2022 at 4:45:00 PM,274,658.9,
Friday October 7 2022 at 5:00:00 PM,229,626.9,
Friday October 7 2022 at 5:15:00 PM,182.2,588.7,
Friday October 7 2022 at 5:30:00 PM,138.1,528.1,
Friday October 7 2022 at 5:45:00 PM,95.6,445.9,
Friday October 7 2022 at 6:00:00 PM,56.1,337.8,
Friday October 7 2022 at 6:15:00 PM,20.6,198.7,
Friday October 7 2022 at 6:30:00 PM,0.7,36.3,
Friday October 7 2022 at 6:45:00 PM,0,0,
Friday October 7 2022 at 7:00:00 PM,0,0,
Friday October 7 2022 at 7:15:00 PM,0,0,
Friday October 7 2022 at 7:30:00 PM,0,0,
Friday October 7 2022 at 7:45:00 PM,0,0,
Friday October 7 2022 at 8:00:00 PM,0,0,
Friday October 7 2022 at 8:15:00 PM,0,0,
Friday October 7 2022 at 8:30:00 PM,0,0,
Friday October 7 2022 at 8:45:00 PM,0,0,
Friday October 7 2022 at 9:00:00 PM,0,0,
Friday October 7 2022 at 9:15:00 PM,0,0,
Friday October 7 2022 at 9:30:00 PM,0,0,
Friday October 7 2022 at 9:45:00 PM,0,0,
Friday October 7 2022 at 10:00:00 PM,0,0,
Friday October 7 2022 at 10:15:00 PM,0,0,
Friday October 7 2022 at 10:30:00 PM,0,0,
Friday October 7 2022 at 10:45:00 PM,0,0,
Friday October 7 2022 at 11:00:00 PM,0,0,
Friday October 7 2022 at 11:15:00 PM,0,0,
Friday October 7 2022 at 11:30:00 PM,0,0,
Friday October 7 2022 at 11:45:00 PM,0,0,
Saturday October 8 2022 at 12:00:00 AM,0,0,
Saturday October 8 2022 at 12:15:00 AM,0,0,
Saturday October 8 2022 at 12:30:00 AM,0,0,
Saturday October 8 2022 at 12:45:00 AM,0,0,
Saturday October 8 2022 at 1:00:00 AM,0,0,
Saturday October 8 2022 at 1:15:00 AM,0,0,
Saturday October 8 2022 at 1:30:00 AM,0,0,
Saturday October 8 2022 at 1:45:00 AM,0,0,
Saturday October 8 2022 at 2:00:00 AM,0,0,
Saturday October 8 2022 at 2:15:00 AM,0,0,
Saturday October 8 2022 at 2:30:00 AM,0,0,
Saturday October 8 2022 at 2:45:00 AM,0,0,
Saturday October 8 2022 at 3:00:00 AM,0,0,
Saturday October 8 2022 at 3:15:00 AM,0,0,
Saturday October 8 2022 at 3:30:00 AM,0,0,
Saturday October 8 2022 at 3:45:00 AM,0,0,
Saturday October 8 2022 at 4:00:00 AM,0,0,
Saturday October 8 2022 at 4:15:00 AM,0,0,
