validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Tuesday October 11 2022 at 2:30:00 PM,551.2,547.9,
Tuesday October 11 2022 at 2:45:00 PM,523.6,506.6,
Tuesday October 11 2022 at 3:00:00 PM,495.6,478.3,
Tuesday October 11 2022 at 3:15:00 PM,467.8,465.8,
Tuesday October 11 2022 at 3:30:00 PM,436.6,449.2,
Tuesday October 11 2022 at 3:45:00 PM,403.9,437,
Tuesday October 11 2022 at 4:00:00 PM,369.6,427.7,
Tuesday October 11 2022 at 4:15:00 PM,333.8,418.6,
Tuesday October 11 2022 at 4:30:00 PM,295.9,419.1,
Tuesday October 11 2022 at 4:45:00 PM,256.3,426.2,
Tuesday October 11 2022 at 5:00:00 PM,216,437.1,
Tuesday October 11 2022 at 5:15:00 PM,173.8,458.8,
Tuesday October 11 2022 at 5:30:00 PM,130.9,432.5,
Tuesday October 11 2022 at 5:45:00 PM,88.2,369.5,
Tuesday October 11 2022 at 6:00:00 PM,47.3,269.5,
Tuesday October 11 2022 at 6:15:00 PM,11,124.7,
Tuesday October 11 2022 at 6:30:00 PM,0,4.3,
Tuesday October 11 2022 at 6:45:00 PM,0,0,
Tuesday October 11 2022 at 7:00:00 PM,0,0,
Tuesday October 11 2022 at 7:15:00 PM,0,0,
Tuesday October 11 2022 at 7:30:00 PM,0,0,
Tuesday October 11 2022 at 7:45:00 PM,0,0,
Tuesday October 11 2022 at 8:00:00 PM,0,0,
Tuesday October 11 2022 at 8:15:00 PM,0,0,
Tuesday October 11 2022 at 8:30:00 PM,0,0,
Tuesday October 11 2022 at 8:45:00 PM,0,0,
Tuesday October 11 2022 at 9:00:00 PM,0,0,
Tuesday October 11 2022 at 9:15:00 PM,0,0,
Tuesday October 11 2022 at 9:30:00 PM,0,0,
Tuesday October 11 2022 at 9:45:00 PM,0,0,
Tuesday October 11 2022 at 10:00:00 PM,0,0,
Tuesday October 11 2022 at 10:15:00 PM,0,0,
Tuesday October 11 2022 at 10:30:00 PM,0,0,
Tuesday October 11 2022 at 10:45:00 PM,0,0,
Tuesday October 11 2022 at 11:00:00 PM,0,0,
Tuesday October 11 2022 at 11:15:00 PM,0,0,
Tuesday October 11 2022 at 11:30:00 PM,0,0,
Tuesday October 11 2022 at 11:45:00 PM,0,0,
Wednesday October 12 2022 at 12:00:00 AM,0,0,
Wednesday October 12 2022 at 12:15:00 AM,0,0,
Wednesday October 12 2022 at 12:30:00 AM,0,0,
Wednesday October 12 2022 at 12:45:00 AM,0,0,
Wednesday October 12 2022 at 1:00:00 AM,0,0,
Wednesday October 12 2022 at 1:15:00 AM,0,0,
Wednesday October 12 2022 at 1:30:00 AM,0,0,
Wednesday October 12 2022 at 1:45:00 AM,0,0,
Wednesday October 12 2022 at 2:00:00 AM,0,0,
Wednesday October 12 2022 at 2:15:00 AM,0,0,
Wednesday October 12 2022 at 2:30:00 AM,0,0,
Wednesday October 12 2022 at 2:45:00 AM,0,0,
Wednesday October 12 2022 at 3:00:00 AM,0,0,
Wednesday October 12 2022 at 3:15:00 AM,0,0,
Wednesday October 12 2022 at 3:30:00 AM,0,0,
Wednesday October 12 2022 at 3:45:00 AM,0,0,
Wednesday October 12 2022 at 4:00:00 AM,0,0,
Wednesday October 12 2022 at 4:15:00 AM,0,0,
Wednesday October 12 2022 at 4:30:00 AM,0,0,
Wednesday October 12 2022 at 4:45:00 AM,0,0,
Wednesday October 12 2022 at 5:00:00 AM,0,0,
Wednesday October 12 2022 at 5:15:00 AM,0,0,
Wednesday October 12 2022 at 5:30:00 AM,0,0,
Wednesday October 12 2022 at 5:45:00 AM,0,0,
Wednesday October 12 2022 at 6:00:00 AM,0,0,
Wednesday October 12 2022 at 6:15:00 AM,0,0,
Wednesday October 12 2022 at 6:30:00 AM,0,0,
Wednesday October 12 2022 at 6:45:00 AM,0,0,
Wednesday October 12 2022 at 7:00:00 AM,0,0,
Wednesday October 12 2022 at 7:15:00 AM,0,4.1,
Wednesday October 12 2022 at 7:30:00 AM,10.7,126.8,
Wednesday October 12 2022 at 7:45:00 AM,57.5,293.9,
Wednesday October 12 2022 at 8:00:00 AM,112.9,433.1,
Wednesday October 12 2022 at 8:15:00 AM,155.9,567.1,
Wednesday October 12 2022 at 8:30:00 AM,199,666,
Wednesday October 12 2022 at 8:45:00 AM,241.9,739.7,
Wednesday October 12 2022 at 9:00:00 AM,282.4,769.5,
Wednesday October 12 2022 at 9:15:00 AM,319.7,745.7,
Wednesday October 12 2022 at 9:30:00 AM,355.5,728.9,
Wednesday October 12 2022 at 9:45:00 AM,390.7,717.7,
Wednesday October 12 2022 at 10:00:00 AM,423.9,703.9,
Wednesday October 12 2022 at 10:15:00 AM,454.6,687.3,
Wednesday October 12 2022 at 10:30:00 AM,484.6,673.9,
Wednesday October 12 2022 at 10:45:00 AM,514.3,667.1,
Wednesday October 12 2022 at 11:00:00 AM,543.2,664.7,
Wednesday October 12 2022 at 11:15:00 AM,572.3,669,
Wednesday October 12 2022 at 11:30:00 AM,595.4,672.6,
Wednesday October 12 2022 at 11:45:00 AM,613.7,678.5,
Wednesday October 12 2022 at 12:00:00 PM,627.8,685.2,
Wednesday October 12 2022 at 12:15:00 PM,637.5,694.5,
Wednesday October 12 2022 at 12:30:00 PM,644,700.3,
Wednesday October 12 2022 at 12:45:00 PM,646.6,704.4,
Wednesday October 12 2022 at 1:00:00 PM,645,706.3,
Wednesday October 12 2022 at 1:15:00 PM,641.5,726.9,
Wednesday October 12 2022 at 1:30:00 PM,630.6,722.1,
Wednesday October 12 2022 at 1:45:00 PM,613.8,701.2,
Wednesday October 12 2022 at 2:00:00 PM,587.8,632.2,
Wednesday October 12 2022 at 2:15:00 PM,550.7,501.5,
Wednesday October 12 2022 at 2:30:00 PM,520.3,432.5,
Wednesday October 12 2022 at 2:45:00 PM,493.5,402.3,
Wednesday October 12 2022 at 3:00:00 PM,466.1,382.7,
Wednesday October 12 2022 at 3:15:00 PM,439,378.4,
Wednesday October 12 2022 at 3:30:00 PM,408.1,357.5,
Wednesday October 12 2022 at 3:45:00 PM,375.6,336.2,
Wednesday October 12 2022 at 4:00:00 PM,341.4,313.6,
Wednesday October 12 2022 at 4:15:00 PM,305.5,287.3,
Wednesday October 12 2022 at 4:30:00 PM,268.2,263.1,
Wednesday October 12 2022 at 4:45:00 PM,229.8,238.7,
Wednesday October 12 2022 at 5:00:00 PM,190.4,215.7,
Wednesday October 12 2022 at 5:15:00 PM,147.3,192.8,
Wednesday October 12 2022 at 5:30:00 PM,107.8,163.9,
Wednesday October 12 2022 at 5:45:00 PM,70.6,128.4,
Wednesday October 12 2022 at 6:00:00 PM,36.9,86.1,
Wednesday October 12 2022 at 6:15:00 PM,7.7,35.5,
Wednesday October 12 2022 at 6:30:00 PM,0,0.5,
Wednesday October 12 2022 at 6:45:00 PM,0,0,
Wednesday October 12 2022 at 7:00:00 PM,0,0,
Wednesday October 12 2022 at 7:15:00 PM,0,0,
Wednesday October 12 2022 at 7:30:00 PM,0,0,
Wednesday October 12 2022 at 7:45:00 PM,0,0,
Wednesday October 12 2022 at 8:00:00 PM,0,0,
Wednesday October 12 2022 at 8:15:00 PM,0,0,
Wednesday October 12 2022 at 8:30:00 PM,0,0,
Wednesday October 12 2022 at 8:45:00 PM,0,0,
Wednesday October 12 2022 at 9:00:00 PM,0,0,
Wednesday October 12 2022 at 9:15:00 PM,0,0,
Wednesday October 12 2022 at 9:30:00 PM,0,0,
Wednesday October 12 2022 at 9:45:00 PM,0,0,
Wednesday October 12 2022 at 10:00:00 PM,0,0,
Wednesday October 12 2022 at 10:15:00 PM,0,0,
Wednesday October 12 2022 at 10:30:00 PM,0,0,
Wednesday October 12 2022 at 10:45:00 PM,0,0,
Wednesday October 12 2022 at 11:00:00 PM,0,0,
Wednesday October 12 2022 at 11:15:00 PM,0,0,
Wednesday October 12 2022 at 11:30:00 PM,0,0,
Wednesday October 12 2022 at 11:45:00 PM,0,0,
Thursday October 13 2022 at 12:00:00 AM,0,0,
Thursday October 13 2022 at 12:15:00 AM,0,0,
Thursday October 13 2022 at 12:30:00 AM,0,0,
Thursday October 13 2022 at 12:45:00 AM,0,0,
Thursday October 13 2022 at 1:00:00 AM,0,0,
Thursday October 13 2022 at 1:15:00 AM,0,0,
Thursday October 13 2022 at 1:30:00 AM,0,0,
Thursday October 13 2022 at 1:45:00 AM,0,0,
Thursday October 13 2022 at 2:00:00 AM,0,0,
Thursday October 13 2022 at 2:15:00 AM,0,0,
Thursday October 13 2022 at 2:30:00 AM,0,0,
Thursday October 13 2022 at 2:45:00 AM,0,0,
Thursday October 13 2022 at 3:00:00 AM,0,0,
Thursday October 13 2022 at 3:15:00 AM,0,0,
Thursday October 13 2022 at 3:30:00 AM,0,0,
Thursday October 13 2022 at 3:45:00 AM,0,0,
Thursday October 13 2022 at 4:00:00 AM,0,0,
Thursday October 13 2022 at 4:15:00 AM,0,0,
Thursday October 13 2022 at 4:30:00 AM,0,0,
Thursday October 13 2022 at 4:45:00 AM,0,0,
Thursday October 13 2022 at 5:00:00 AM,0,0,
Thursday October 13 2022 at 5:15:00 AM,0,0,
Thursday October 13 2022 at 5:30:00 AM,0,0,
Thursday October 13 2022 at 5:45:00 AM,0,0,
Thursday October 13 2022 at 6:00:00 AM,0,0,
Thursday October 13 2022 at 6:15:00 AM,0,0,
Thursday October 13 2022 at 6:30:00 AM,0,0,
Thursday October 13 2022 at 6:45:00 AM,0,0,
Thursday October 13 2022 at 7:00:00 AM,0,0,
Thursday October 13 2022 at 7:15:00 AM,0,2.3,
Thursday October 13 2022 at 7:30:00 AM,3.6,117.8,
Thursday October 13 2022 at 7:45:00 AM,22.7,294.9,
Thursday October 13 2022 at 8:00:00 AM,51.4,442.5,
Thursday October 13 2022 at 8:15:00 AM,92.3,581.6,
Thursday October 13 2022 at 8:30:00 AM,132.3,675.1,
Thursday October 13 2022 at 8:45:00 AM,169.5,734.4,
Thursday October 13 2022 at 9:00:00 AM,205.2,759,
Thursday October 13 2022 at 9:15:00 AM,238.3,743.1,
Thursday October 13 2022 at 9:30:00 AM,272.1,733.3,
Thursday October 13 2022 at 9:45:00 AM,304.7,724.2,
Thursday October 13 2022 at 10:00:00 AM,335.9,710.4,
Thursday October 13 2022 at 10:15:00 AM,363.8,691.9,
Thursday October 13 2022 at 10:30:00 AM,391.7,678.6,
Thursday October 13 2022 at 10:45:00 AM,419.2,672.1,
Thursday October 13 2022 at 11:00:00 AM,449.4,667.9,
Thursday October 13 2022 at 11:15:00 AM,485.2,669.1,
Thursday October 13 2022 at 11:30:00 AM,512.6,662.4,
Thursday October 13 2022 at 11:45:00 AM,532.8,652.5,
Thursday October 13 2022 at 12:00:00 PM,547.5,640.6,
Thursday October 13 2022 at 12:15:00 PM,555.5,628.4,
Thursday October 13 2022 at 12:30:00 PM,561.9,614.1,
Thursday October 13 2022 at 12:45:00 PM,564.8,597.9,
Thursday October 13 2022 at 1:00:00 PM,563.9,576.3,
